A	B	C	D	E	E-oe	E-ea	E-oa	E-eo	F	G	H	I	I-oe	I-oa	I-ea	I-eo
En el	cielo	de Madrid	han entrado	E-oe	los ladrones	las estrellas	las pastoras	los camellos	y al bueno de	San José	le han robado	I-oe	los calzones	por la boca	sin orejas	unos conejos
Tras el	portal	de tu casa	han llegado	E-ea	los ratones	las ovejas	las carrozas	los corderos	y al niño de	Nazaret	le han dejado	I-oa	unos bombones	la corona	unas cervezas	sin consejos
Por el	monte	de Belén 	han venido	E-oa	los calores	las centellas	las canoas	carpinteros	y al burro de	Navidad	le han manchado	I-ea	unos cartones	una consola	unas collejas	en el convento
Desde el	niño	de tu casa	han bajado	E-eo	los dolores	lavanderas	las palomas	jornaleros	y al triste de	mi vecino	le han traído	I-eo	dos cajones	la zambomba	dos y media	por los pelos
Entre el	pozo	de la noche	han volado		los pastores	con pesetas		sin dinero	y al pastor de	cada casa	le han llevado		algunos dones	pocas cosas	su dinero	cuatro perros
Frente al	río	con estrellas	han pasado								le han tocado				por el suelo	dos pimientos
		por la noche	ya venían												su consuelo	
		de Judea	ya se asoman													
		de los niños	ya llegaban													
		del colegio	van viniendo													
